City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,parnu,58.3859,24.4971,24.4971,100,100,1.03,EE,1722819181
170,rongelap,11.1635,166.8941,166.8941,78,73,6.46,MH,1722819182
171,boone,39.0334,-92.3335,-92.3335,55,7,0.45,US,1722819183
172,ust-nera,64.5667,143.2,143.2,52,43,1.8,RU,1722819185
173,khairpur nathan shah,27.0936,67.7337,67.7337,76,100,3.53,PK,1722819186
174,saint-francois,46.4154,3.9054,3.9054,100,0,1.54,FR,1722819036
175,evanston,42.0411,-87.6901,-87.6901,60,40,1.79,US,1722819188
176,kingston,17.997,-76.7936,-76.7936,70,20,7.72,JM,1722818952
177,kenai,60.5544,-151.2583,-151.2583,59,0,2.57,US,1722819076
178,rubiataba,-15.1644,-49.8033,-49.8033,37,0,2.03,BR,1722819192
179,west island,-12.1568,96.8225,96.8225,88,100,2.57,CC,1722819193
180,acajutla,13.5928,-89.8275,-89.8275,78,30,2.07,SV,1722819194
181,kimitsu,35.3253,139.8911,139.8911,63,0,1.07,JP,1722819174
182,nemuro,43.3236,145.575,145.575,100,100,3.67,JP,1722819197
183,constantia,44.1833,28.65,28.65,72,5,4.22,RO,1722819007
184,saint-jean-de-monts,46.7833,-2.0667,-2.0667,81,0,1.59,FR,1722819199
185,abuyog,10.6667,125.05,125.05,75,100,1.78,PH,1722819200
186,puerto carreno,6.189,-67.4859,-67.4859,83,100,1.25,CO,1722819180
187,laurentides,46.4334,-74.9826,-74.9826,65,77,1.87,CA,1722819203
188,hun,29.1268,15.9477,15.9477,24,0,4.09,LY,1722819204
189,kavaratti,10.5669,72.642,72.642,81,100,4.62,IN,1722819205
190,kapuskasing,49.4169,-82.4331,-82.4331,45,40,5.14,CA,1722818932
191,hadibu,12.65,54.0333,54.0333,83,100,9.91,YE,1722818958
192,alice springs,-23.7,133.8833,133.8833,87,100,3.09,AU,1722819050
193,olyokminsk,60.3736,120.4264,120.4264,97,100,2.68,RU,1722819210
194,sitka,57.0531,-135.33,-135.33,36,0,3.09,US,1722819143
195,navarre,30.4016,-86.8636,-86.8636,68,0,6.17,US,1722819212
196,dudinka,69.4058,86.1778,86.1778,56,0,9.22,RU,1722819213
197,murzuq,25.9155,13.9184,13.9184,15,0,5.11,LY,1722819215
198,howard springs,-12.497,131.047,131.047,86,31,3.36,AU,1722819008
199,bredasdorp,-34.5322,20.0403,20.0403,69,18,4.66,ZA,1722819217
200,barra de santo antonio,-9.4047,-35.5072,-35.5072,72,21,6.49,BR,1722819218
201,bay roberts,47.5999,-53.2648,-53.2648,99,100,3.95,CA,1722819219
202,fort st. john,56.2499,-120.8529,-120.8529,88,75,3.09,CA,1722819221
203,talnakh,69.4865,88.3972,88.3972,54,0,5.41,RU,1722819038
204,guaratuba,-25.8828,-48.5747,-48.5747,96,99,2.88,BR,1722819223
205,takhatgarh,25.3333,73.0,73.0,91,100,4.7,IN,1722819226
206,panjab,34.388,67.0233,67.0233,45,0,2.02,AF,1722819227
207,pho chai,16.3283,103.7703,103.7703,82,66,3.26,TH,1722819228
208,namtsy,62.7161,129.6658,129.6658,34,100,5.55,RU,1722819229
209,arar,30.9753,41.0381,41.0381,17,0,5.14,SA,1722819230
210,castillos,-34.1667,-53.8333,-53.8333,83,99,2.03,UY,1722819162
211,saudarkrokur,65.7461,-19.6394,-19.6394,79,100,5.47,IS,1722819233
212,darab,28.7519,54.5444,54.5444,21,47,0.86,IR,1722819234
213,conception bay south,47.4999,-52.9981,-52.9981,96,100,4.43,CA,1722819235
214,san patricio,28.017,-97.5169,-97.5169,58,5,5.07,US,1722819020
215,matnog,12.5878,124.0875,124.0875,81,89,7.21,PH,1722819238
216,kerikeri,-35.2268,173.9474,173.9474,56,40,2.05,NZ,1722819239
217,tralee,52.2704,-9.7026,-9.7026,98,100,2.75,IE,1722819240
218,utrik,11.2278,169.8474,169.8474,80,39,6.51,MH,1722819241
219,ain sefra,32.75,-0.5833,-0.5833,15,100,1.04,DZ,1722819243
220,filingue,14.3521,3.3168,3.3168,71,100,4.63,NE,1722819244
221,weno,7.4515,151.8468,151.8468,79,40,3.09,FM,1722819245
222,amahai,-3.3333,128.9167,128.9167,90,100,2.42,ID,1722819247
